symbol,date,price
elementary school,101,8
elementary school,102,10
elementary school,103,8
elementary school,104,7
elementary school,105,5
elementary school,106,4
junior high school,101,855
junior high school,102,641
junior high school,103,582
junior high school,104,600
junior high school,105,361
junior high school,106,260
senior High School,101,1503
senior High School,102,1257
senior High School,103,1031
senior High School,104,1029
senior High School,105,581
senior High School,106,498
university,101,66
university,102,113
university,103,79
university,104,113
university,105,59
university,106,260
